Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1692.3938310686963
FDW14,OUT017,1374.3584622569774
NCN55,OUT010,574.9704364933294
FDQ58,OUT017,2495.097842469107
FDY38,OUT027,5149.361514807094
FDH56,OUT046,1952.739031684928
FDL48,OUT018,733.729968895503
FDC48,OUT027,2245.8241848197163
FDN33,OUT045,1544.9772086694397
FDA36,OUT017,2988.470777275388
FDT44,OUT017,1957.584226574534
FDQ56,OUT045,1380.7917661544361
NCC54,OUT019,762.6065698477464
FDU11,OUT049,2040.242768553239
DRL59,OUT013,764.6383132576977
FDM24,OUT049,2484.6939025228676
FDI57,OUT045,3020.841579156387
DRC12,OUT018,2967.8720505764945
NCM42,OUT027,2988.6521475219324
FDA46,OUT010,492.108136079185
FDA31,OUT013,2862.5828177493663
NCJ31,OUT035,3816.418017982056
FDG52,OUT046,721.764927110888
NCL19,OUT019,358.8585275235068
FDS10,OUT035,2982.2314976177436
FDX22,OUT010,552.9783386189944
NCF19,OUT035,723.6587785359426
NCE06,OUT046,2494.0034538247533
DRC27,OUT046,3816.970945879507
FDE21,OUT035,1969.3682507170313
NCR42,OUT019,68.11972561792976
FDX51,OUT018,2984.1210665367485
NCR06,OUT018,663.6878794345358
FDU31,OUT027,5090.27164929901
FDU59,OUT017,2569.89906942463
FDR03,OUT027,4820.339248361015
FDS49,OUT027,2248.4404928489653
FDD48,OUT010,271.075880377792
NCF18,OUT017,3008.670726393231
NCD43,OUT027,2548.759322166184
NCD54,OUT018,2210.5333377777497
FDY19,OUT010,247.95075352991626
NCY54,OUT017,2887.2774079850315
NCL19,OUT018,2407.6436740171234
FDP23,OUT010,492.019712271989
FDC26,OUT013,1732.5944594133994
FDR14,OUT010,174.69147399157933
NCS41,OUT035,3009.5015009517224
FDF41,OUT035,3794.287080148659
FDU34,OUT046,2023.3842811350737
DRH11,OUT046,894.884612145971
FDM03,OUT013,1682.3630514615343
FDS31,OUT017,2978.186145813483
FDJ20,OUT017,2009.0596084481483
FDV44,OUT027,4873.829532671656
FDG02,OUT049,3042.065052316088
FDA09,OUT013,3007.808847100515
FDT04,OUT013,641.3568280235706
FDL58,OUT019,541.3793859919323
FDE52,OUT045,1402.032630239358
FDW12,OUT035,2578.8586648489068
FDL51,OUT017,3398.3833281275515
NCY42,OUT027,3237.8961333062744
FDR07,OUT017,1562.309338850945
FDN40,OUT045,2477.4653691618355
FDB35,OUT027,2592.354022156504
